REGIAO;UF;ESTACAO;CODIGO;LATITUDE;LONGITUDE;ALTITUDE
NE;PB;CABACEIRAS;A348;-7.48333333;-36.28638888;436.0
NE;PE;FLORESTA;A351;-8.5936111;-38.58388888;332.0
NE;RN;CALCANHAR;A344;-5.16;-35.45416666;17.0
N;AM;HUMAITA;A112;-7.92277777;-63.12138888;72.0
N;AM;BARCELOS;A128;-0.95861111;-62.94222221;42.0
N;RO;CACOAL;A939;-11.44583333;-61.43416666;210.0
N;RO;ARIQUEMES;A940;-9.94888888;-62.96194444;140.0
N;TO;DIANOPOLIS;A038;-11.59416666;-46.84722221;732.0
N;TO;FORMOSO DO ARAGUAIA;A039;-11.98722221;-49.60833333;220.0
SE;ES;PRES. KENNEDY;A622;-21.10111111;-41.03888888;80.0
SE;ES;NOVA VENECIA;A623;-18.69527777;-40.4075;154.0
SE;MG;FLORESTAL;A535;-19.88527778;-44.41694444;750.0
SE;MG;IBIRITE (ROLA MOCA);A555;-20.0311111;-44.01111111;1208.0
SE;RJ;SAO TOME;A620;-22.04166666;-41.05194444;8.0
N;RO;VILHENA;A938;-12.73472221;-60.15777777;590.0
S;PR;JAPIRA;A871;-23.77305554;-50.18055554;694.0
S;RS;TRAMANDAI;A834;-30.00972222;-50.13527777;1.0
S;RS;MOSTARDAS;A878;-31.24777777;-50.90555555;10.0
S;SC;DIONISIO CERQUEIRA;A848;-26.28638888;-53.63277777;810.0
NE;BA;UAUA;A435;-9.8336111;-39.49555555;453.0
N;PA;BRAGANCA;A226;-1.04527777;-46.78277777;33.0
